openmlid,learner,train_size,seed,traintime,error_rate
1457,<class 'sklearn.discriminant_analysis.LinearDiscriminantAnalysis'>,256,0,517,0.7765273311897106
1457,<class 'sklearn.discriminant_analysis.LinearDiscriminantAnalysis'>,512,0,2890,0.8663967611336032
1457,<class 'sklearn.discriminant_analysis.LinearDiscriminantAnalysis'>,1024,0,9229,0.907563025210084
1457,<class 'sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis'>,256,0,4846,0.9670418006430868
1457,<class 'sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis'>,512,0,4473,0.9655870445344128
1457,<class 'sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis'>,1024,0,2663,0.9432773109243696
1457,<class 'sklearn.naive_bayes.BernoulliNB'>,2,0,249,0.9666221628838452
1457,<class 'sklearn.naive_bayes.BernoulliNB'>,4,0,233,0.9592245989304812
1457,<class 'sklearn.naive_bayes.BernoulliNB'>,8,0,226,0.9470509383378016
1457,<class 'sklearn.naive_bayes.BernoulliNB'>,16,0,251,0.9663072776280324
1457,<class 'sklearn.naive_bayes.BernoulliNB'>,32,0,223,0.9802452316076294
1457,<class 'sklearn.naive_bayes.BernoulliNB'>,64,0,215,0.9784122562674096
1457,<class 'sklearn.naive_bayes.BernoulliNB'>,128,0,252,0.965743440233236
1457,<class 'sklearn.naive_bayes.BernoulliNB'>,256,0,226,0.8762057877813505
1457,<class 'sklearn.naive_bayes.BernoulliNB'>,512,0,250,0.6872469635627529
1457,<class 'sklearn.naive_bayes.BernoulliNB'>,1024,0,287,0.3655462184873951
1457,<class 'sklearn.naive_bayes.MultinomialNB'>,2,0,17,0.9632843791722296
1457,<class 'sklearn.naive_bayes.MultinomialNB'>,4,0,17,0.980614973262032
1457,<class 'sklearn.naive_bayes.MultinomialNB'>,8,0,17,0.96313672922252
1457,<class 'sklearn.naive_bayes.MultinomialNB'>,16,0,22,0.981132075471698
1457,<class 'sklearn.naive_bayes.MultinomialNB'>,32,0,26,0.9782016348773842
1457,<class 'sklearn.naive_bayes.MultinomialNB'>,64,0,31,0.967966573816156
1457,<class 'sklearn.naive_bayes.MultinomialNB'>,128,0,34,0.9402332361516036
1457,<class 'sklearn.naive_bayes.MultinomialNB'>,256,0,43,0.8167202572347267
1457,<class 'sklearn.naive_bayes.MultinomialNB'>,512,0,50,0.6224696356275303
1457,<class 'sklearn.naive_bayes.MultinomialNB'>,1024,0,53,0.3445378151260504
1457,<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,8,0,74,0.975201072386059
1457,<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,16,0,71,0.9703504043126684
1457,<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,32,0,75,0.9632152588555858
1457,<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,64,0,95,0.9463788300835656
1457,<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,128,0,108,0.9074344023323616
1457,<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,256,0,126,0.840032154340836
1457,<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,512,0,167,0.8188259109311741
1457,<class 'sklearn.neighbors._classification.KNeighborsClassifier'>,1024,0,102,0.7478991596638656
1457,<class 'sklearn.ensemble._forest.ExtraTreesClassifier'>,2,0,156,0.9706275033377836
1457,<class 'sklearn.ensemble._forest.ExtraTreesClassifier'>,4,0,157,0.9712566844919788
1457,<class 'sklearn.ensemble._forest.ExtraTreesClassifier'>,8,0,176,0.96514745308311
1457,<class 'sklearn.ensemble._forest.ExtraTreesClassifier'>,16,0,198,0.9602425876010782
1457,<class 'sklearn.ensemble._forest.ExtraTreesClassifier'>,32,0,219,0.9529972752043596
1457,<class 'sklearn.ensemble._forest.ExtraTreesClassifier'>,64,0,216,0.8495821727019499
1457,<class 'sklearn.ensemble._forest.ExtraTreesClassifier'>,128,0,338,0.749271137026239
1457,<class 'sklearn.ensemble._forest.ExtraTreesClassifier'>,256,0,655,0.592443729903537
1457,<class 'sklearn.ensemble._forest.ExtraTreesClassifier'>,512,0,1414,0.4706477732793522
1457,<class 'sklearn.ensemble._forest.ExtraTreesClassifier'>,1024,0,3009,0.36764705882352944
1457,<class 'sklearn.ensemble._forest.RandomForestClassifier'>,2,0,171,0.9759679572763684
