,task_id,classifier,performance_curve_end,performance_prediction,performance_next_point,delta_current_prediction,delta_current_actual
517,359968,LinearDiscriminantAnalysis(),0.19190411578471278,0.1509288348648765,0.1531492192018508,0.04097528091983629,0.03875489658286199
518,359968,QuadraticDiscriminantAnalysis(),0.1420624151967436,0.2893394776381783,0.1577703875072296,-0.1472770624414347,-0.015707972310486013
519,359968,BernoulliNB(),0.18439620081411126,0.1427125093284147,0.15842780026990552,0.04168369148569656,0.02596840054420574
520,359968,KNeighborsClassifier(),0.15771144278606963,0.11371001406017489,0.11799884326200116,0.04400142872589474,0.03971259952406847
521,359968,ExtraTreesClassifier(),0.13971053821800092,0.0648981467825287,0.06745710429920956,0.07481239143547222,0.07225343391879135
522,359968,RandomForestClassifier(),0.14251469923111712,-0.015600146645472213,0.052299016772700976,0.15811484587658933,0.09021568245841614
523,359968,GradientBoostingClassifier(),0.1664857530529172,0.04004068090970486,0.04900231347599767,0.12644507214321235,0.11748343957691953
524,211979,LinearSVC(),0.37033000000000005,0.3494096719027542,0.36475013825851643,0.020920328097245866,0.005579861741483616
525,211979,DecisionTreeClassifier(),0.44287,0.41596240959636327,0.41605654119798247,0.026907590403636716,0.02681345880201752
526,211979,ExtraTreeClassifier(),0.48792,0.4585084893366588,0.4641363104302692,0.029411510663341245,0.023783689569730815
527,211979,LogisticRegression(),0.35711,0.34292667388617143,0.35773232419422,0.014183326113828554,-0.0006223241942200364
528,211979,PassiveAggressiveClassifier(),0.4674899999999999,0.46050900589187477,0.47236233286147583,0.006980994108125138,-0.004872332861475925
529,211979,Perceptron(),0.45680000000000004,0.4642248200575858,0.4644790116197509,-0.007424820057585768,-0.007679011619750875
530,211979,RidgeClassifier(),0.37826,0.3693335743021408,0.37367649887376975,0.008926425697859175,0.004583501126230238
531,211979,SGDClassifier(),0.40384000000000003,0.3702340724111658,0.37257773927172944,0.03360592758883424,0.0312622607282706
532,211979,LinearDiscriminantAnalysis(),0.37392,0.373138540820367,0.36432415944084146,0.0007814591796329595,0.00959584055915852
533,211979,BernoulliNB(),0.44826,0.44810045790502545,0.44350902057368957,0.00015954209497454075,0.00475097942631042
534,211979,KNeighborsClassifier(),0.4249200000000001,0.4049111940991523,0.4083250431033491,0.020008805900847748,0.01659495689665097
535,211979,ExtraTreesClassifier(),0.33926999999999996,0.3096131843134298,0.3065492571686112,0.029656815686570137,0.03272074283138876
536,211979,RandomForestClassifier(),0.32912,0.29688995994055484,0.29686755296213096,0.032230040059445186,0.03225244703786906
537,359987,LinearSVC(),0.07604999999999998,0.07437630091729613,0.07578004321962026,0.0016736990827038445,0.00026995678037972093
538,359987,DecisionTreeClassifier(),0.0016199999999999882,-0.0006383684543923472,0.0004120200041650257,0.0022583684543923356,0.0012079799958349625
539,359987,ExtraTreeClassifier(),0.002410000000000012,0.0033675784955886504,0.0010437296842130904,-0.0009575784955886384,0.0013662703157869215
540,359987,LogisticRegression(),0.03271000000000003,0.03334660262687563,0.03284989934536762,-0.0006366026268756,-0.00013989934536758758
541,359987,PassiveAggressiveClassifier(),0.10181,0.11208116231130026,0.0950058778079926,-0.010271162311300264,0.006804122192007392
542,359987,Perceptron(),0.07207,0.057348654398755895,0.06613938176626999,0.0147213456012441,0.005930618233730006
543,359987,RidgeClassifier(),0.123,0.11520044675902702,0.12491765032550531,0.007799553240972978,-0.0019176503255053101
544,359987,SGDClassifier(),0.05033,0.053195272068926346,0.05932750029426768,-0.002865272068926346,-0.008997500294267678
545,359987,MLPClassifier(),0.0018000000000000017,-0.028112871326243294,0.000933847119647746,0.029912871326243297,0.0008661528803522556
546,359987,LinearDiscriminantAnalysis(),0.05489999999999999,0.05417900637036286,0.05671837226217892,0.0007209936296371303,-0.00181837226217893
